,link,title,year,synopsis
524,/wiki/Kairos_(TV_series),Kairos (TV series),2020,"Kim Seo-jin (Shin Sung-rok) is a successful and workaholic construction company director. One day, his daughter goes missing with no trace. Shortly after, his wife, Kang Hyun-chae (Nam Gyu-ri), commits suicide due to the shock.
"
525,/wiki/KBS_Drama_Special,KBS Drama Special,2010–present,
526,/wiki/Cutting_Off_the_Heart,Cutting Off the Heart,2010,"Yoon Sun-young's (Moon Jeong-hee) husband is brain-dead after a car accident while trying to save a man named Lee Jae-woo (Im Ji-kyu). Sun-young does not want to give up on her husband but her mother-in-law (Sa Mi-ja) wants to donate her son's organs to fulfil his wish. Jae-woo, who will die because of a heart disease, receives his heart.
"
527,/wiki/Do_You_Know_Taekwondo%3F,Do You Know Taekwondo?,2012,"Yoon Do-hyeon dreams of becoming an action star but like his father before him can only get roles as a stunt actor. Out of the blue he is called up by the sports director of his old school, the school Taekwondo team has lost its coach and he wants Yoon Do-hyeon to take over as coach. Although Yoon was on the school Taekwondo team he was not the star athlete, of the same name, that the director thinks he is. However Yoon is just scraping by and takes the job anyway.
"
528,/wiki/I%27m_Dying_Soon,I'm Dying Soon,2014,"Choi Woo-jin (Oh Jung-se) lives in quiet resignation of a life full of failures. He spent 10 years studying for bar and civil service exams but now works at a medium-sized company. He likes Ga-yeon (Lee So-yoon), a colleague, but is rejected by her. Only Sa-rang (Kim Seul-gi) from the accounting department shows great interest in him but he ignores her. One day, he goes to the hospital after experiencing pain in his stomach and is diagnosed with terminal pancreatic cancer. While shocked by the news, he eventually decides to live his life fully. He quits his job, withdraws all his life savings, books a hotel suite and decides to live extravagantly for the remaining three months. However, Sa-rang, who still likes him a lot, is not giving up on him yet.
"
529,/wiki/If_We_Were_a_Season,If We Were a Season,2017,"Yoon Hae-rim (Chae Soo-bin) and Uhm Gi-seok (Jang Dong-yoon), two high school students born on the same day, are raised together as neighbours since birth. They are close and precious to each other. One day, a transfer student from Seoul, Oh Dong-kyeong (Jinyoung), appears. Will it shake up the close relationship and feelings they have for each other?
"
530,/wiki/My_Prettiest_Moments,My Prettiest Moments,2012,"Lee Shin-ae (Jeon Ye-seo) is terminally ill with cancer and wants to live the rest of her given life without treatment but is forced into the hospital by her husband. There she meets Yoon Jung-hyuk (Lee Jong-suk), a popular university student who is the guardian and takes care of his sick girlfriend. Jung-hyuk falls in love with Shin-ae and finds out the meaning of true love. Shin-ae, while nearing the end of her life, finds new meaning to her life and love.
"
531,/wiki/Pianist_(KBS_Drama_Special),Pianist (KBS Drama Special),2010,"21-year-old Oh Je-ro is a musical genius, but in order to support his sick father, he's worked for years at a piano factory as a tuner. He despairs of ever being given a chance to learn how to play the piano, and thinks the name his father gave him sounds like ""Oh, Zero,"" signifying his lack of hope in the future. This changes when he meets and falls in love with Yoon In-sa, a 30-year-old music teacher in a school. In-sa dreamed of becoming the world's greatest pianist when she was young, but she was also forced to give up her dreams because of her poor circumstances. Instead, she leads an exhausting life as a part-time music teacher at an elementary school. A piano will bring these two souls together, as they share their dreams, hopes, pain and eventually heal each other.
"
532,/wiki/Pinocchio%27s_Nose,Pinocchio's Nose,2016,"15 years ago, Yoon Da-jung's (Lee Yoo-ri) mother Kim Young-hee (Kim Ye-ryeong) disappeared and her father Yoon Nam-ho (Park Chan-hwan) was arrested for her murder. He was later released due to lack of evidence.
"
533,/wiki/Reason_(KBS_Drama_Special),Reason (KBS Drama Special),2010,"Kim Ji-soo married a man who her father approved of but she does not love just to get away from her strict father. On the day she tells her husband she wants a divorce, he has a car accident. Since then, she has been taking care of him who is in a vegetative state. She finds little reason to live and go through life in a routine manner until she meets Park Song-yi, a new caregiver, and her life changes.
"
534,/wiki/Review_Notebook_of_My_Embarrassing_Days,Review Notebook of My Embarrassing Days,2018,"A group of math teachers are selected to review an exam. Do Do-hye and her ex-husband are among the group of teachers. Na Pil-seung is the security officer assigned to watch over the teachers to prevent them from leaking exam material. Do-hye and Pil-seung shared some embarrassing moments during their college days. Do-hye tries her best to avoid these embarrassing memories.
"
535,/wiki/The_Memory_in_My_Old_Wallet,The Memory in My Old Wallet,2013,"Lee Young-jae (Ryu Soo-young) lost his memory after a car accident two years ago. During his stay in the hospital, no one visit or call him. Now, he runs a used book store and feels isolated. Chae Soo-ah (Nam Bo-ra), a student who has a crush on Young-jae, visits his store and wants to help him regain his memory. One day, he receives an anonymous package. In it, he finds a worn-out wallet and a photo of him smiling with a woman but he could not remember who she is. What is the relationship between Young-jae and the woman? Why didn't she look for him? Is she even alive? With Soo-ah's help, will Young-jae ever find her?
"
536,/wiki/KBS_TV_Novel,KBS TV Novel,1987–2018,
537,/wiki/A_Sea_of_Her_Own,A Sea of Her Own,2017,
538,/wiki/Dal_Soon%27s_Spring,Dal Soon's Spring,2017–18,"The story of an amnesiac young woman to become a successful shoemaker while also searching for her identity and get the justice for her father's death.
"
539,/wiki/Dear_My_Sister,Dear My Sister,2011–12,"Han Bok-hee is a girl who studies very hard and works at a brewery. When she was five years old, her parents divorced and Bok-hee went to live with her mother. Her father died in a coal mine accident.
"
540,/wiki/Eunhui,Eunhui,2013–14,"A day before the Korean War breaks out in 1950, a man is murdered. This event triggers repercussions in three families, as four young people struggle with love and forgiveness.
"
541,/wiki/In_Still_Green_Days,In Still Green Days,2015,
542,/wiki/Land_of_Gold,Land of Gold,2014,
543,"/wiki/Love,_My_Love","Love, My Love",2012–13,
544,/wiki/My_Mind%E2%80%99s_Flower_Rain,My Mind’s Flower Rain,2016,
545,/wiki/Samsaengi,Samsaengi,2013,"Samsaengi is set in the 70's in Seoul and tells the story of a woman (played by Hong Ah-reum) who becomes a promising oriental herbal doctor after going through many ups and downs in her life. It is also about innocent, yet desperate love of four different people who have different ways of love.
"
546,/wiki/Single-minded_Dandelion,Single-minded Dandelion,2014–15,"During the 1960s and 1970s, two sisters work at a flour mill and experience life and love.
"
547,/wiki/Sunok,Sunok,2006,"A baby girl was abandoned at birth. She has grown to become a woman facing her cruel destiny. She is born but their parents are too poor so they send her to some rich house who becomes Sunok's stepparents are care as she is their real daughter. Later, Sunok's real father overthrows Sunok stepfather's business and become rich himself, leaving Sunok's family to starve. At last, Sunok's real parents get to know the truth and goes to Sunok to get forgiveness. At first, Sunok denies it but at last, forgive them. In addition, her stepfather's new business, selling antiques gets successful.
"
548,/wiki/That_Sun_in_the_Sky,That Sun in the Sky,2016–17,
549,/wiki/The_Stars_Are_Shining,The Stars Are Shining,2015–16,
550,/wiki/Through_the_Waves,Through the Waves,2018,"This is a family drama which tells the story of a family of five women who lost their property and became separated after the war.
"
551,/wiki/Kill_It,Kill It,2019,"A passionate animal lover and skilled veterinarian, no one would suspect that Kim Soo-hyun (Jang Ki-yong) is actually one of the most lethal men in the world.  Using his facade as a defender of animals to hide his true identity, Kim Soo-hyun has forged a reputation between the worst of the worst as the epitome of precision, skill and, above all, anonymity.  A complete mystery, he is a ghost, a shadow, a lethal whisper, hired by individuals and organizations around the world to deal with problems that only he is capable of dealing with. On the opposite extreme, is Do Hyun-jin (Nana), a tenacious detective whose external cold image hides an empathic soul.  Using an effective combination of skill and instinct, Do Hyun-jin ends up working on a case that leads her directly to Kim Soo-hyun. Believing that he is the serial killer she seeks, Do Hyun-jin thoroughly investigates the identity and past of Kim Soo-hyun, but what she finds shakes her to the bone.  Now, bound by fate, Do Hyun-jin and Kim Soo-hyun set out to solve the mystery that linked them years ago.
"
552,"/wiki/Kill_Me,_Heal_Me","Kill Me, Heal Me",2015,"The human body is capable of all sorts of things to survive difficult situations. Cha Do Hyun (Ji Sung) is a third-generation business heir who developed dissociative identity disorder (previously known as multiple personality disorder) in the aftermath of several life-threatening traumatic events. He tries to regain control over his life with the help of Oh Ri Jin (Hwang Jung-eum), a beautiful first-year psychiatric resident who helps him secretly. But Ri Jin's twin brother, Oh Ri On (Park Seo-joon), is a writer who is determined to uncover the unscrupulous lives of the rich and starts following Do Hyun around. Can Do Hyun take control over his condition before one of his seven identities takes control of him instead?
"
553,/wiki/Kim_Is_a_Genius,Kim Is a Genius,2019,"Kim Is a Genius follows the peculiar happenings at Fisher-King, a viral marketing company whose (largely incompetent) employees come to depend on a number of mysterious smart-phone apps providing unusual and improbable services — from allowing users to see through photoshopped images to analyzing the content of the food they eat. Each episode is viewed as though through the phone of one character, from the hapless but handsome Chadol Chun to the ultra-competent but borderline-sociopathic Yeonseop Kim.
"
554,"/wiki/Kim_Su-ro,_The_Iron_King","Kim Su-ro, The Iron King",2010,"The ₩20 billion-budget historical drama charts the life of Kim Su-ro, who unified 12 small countries to become the legendary founder and ruler of Geumgwan Gaya, the city-state of the Gaya confederacy which dominated sea trade and iron working during the Three Kingdoms Period in the 5th century. Kim Su-ro's fiery temperament, charisma and intelligence are his only defense in an extended political struggle, with competition for the throne from his half-brother and lifelong rival, Ijinashi (first king of the state of Daegaya), his former friend Seok Tal-hae, and the dangerous ambitions of Shingwi Ghan.
"
555,/wiki/Kimcheed_Radish_Cubes,Kimcheed Radish Cubes,2007–08,"Even though times change and our relationships with our family changes, our affection for them is timeless. The drama is about affection that is the foundation of family. Dong-jin is the eldest son in a family of 3 sons. He is dutiful and responsible but due to character clash, he has gone through divorce with his ex-wife, Ji-hye, whom he shares a child with. Dong-jin then starts a new romance with Eun-ho whom he works with. Jang Sa-ya is a girl that has grown up living in a secluded temple in the countryside. She meets and helps Park Jae-woo when he passes out in a forest nearby. He hangs her a card saying he would repay her if she ever goes to Seoul. As Sa-ya continues develops a curiosity of the world and wants to escape her ""monk"" life, her constant effort finally reaches an agreement with her guardian at the monastery. Her guardian tells her she has a father in Seoul, thus starting her venture to find her father. Along the way she meets some unfortunate events, and while searching for her father, Jae-woo soon falls for her.
"
556,/wiki/Kimchi_Cheese_Smile,Kimchi Cheese Smile,2007–08,
557,/wiki/Kimchi_Family,Kimchi Family,2011–12,"Lee Kang-san (Park Jin-hee) and Lee Woo-joo (Lee Min-young) are sisters who suddenly have to take over running their family's traditional kimchi restaurant Chunjiin (""Heaven, Earth and Man"") after their father leaves without notice. The sisters must keep the restaurant going on their own, but they get some help from a troubled man, Ki Ho-tae (Song Il-gook), who shows up at the restaurant looking for his missing past. Ho-tae is an orphan who grew up to become a member of a crime syndicate. But he starts a new life as a worker at Chunjiin, where he discovers the perks of having an excellent palate. Together with the other restaurant employees, longtime customers and a growing circle of friends, they work towards their individual goals while finding warmth and family through their sharing of food and support of each other.
"
558,/wiki/King_of_Ambition,King of Ambition,2013,"The name Ha Ryu means ""a child flown from heaven."" He was given this name by the nun who first found him in front of an orphanage; it came to her immediately the moment she saw his pure, innocent face. Ha Ryu's life began in earnest when he first laid eyes on Da-hae at the orphanage. Ha Ryu was a simple boy who disliked chores; however, for Da-hae, there was nothing he would not do or any place he would not go. Whenever Da-hae cried, Ha Ryu became too restless to do anything. But when Da-hae was adopted, they had to part.
"
559,/wiki/Kingdom_(South_Korean_TV_series),Kingdom (South Korean TV series),2019–present,"Set during Korea's Joseon Dynasty, three years after the Imjin War, the first season of Kingdom follows the story of Crown Prince Lee Chang (Ju Ji-hoon) and his subordinates, who stumble across an unnatural plague that resurrects the dead amidst his investigation of a brewing political conspiracy and rumors of the King of Joseon's death. Amidst the chaos and death that ensues, Chang meets allies who try to make a stand in the city-state of Sangju before it spreads further into the province, only to discover that the plague has already adapted. The second season picks up during Lee Chang's struggle to save his people from the spread of the plague and his dynasty from the machinations of the powerful Haewon Cho clan who hides a sinister secret.
"
560,/wiki/Kingmaker:_The_Change_of_Destiny,Kingmaker: The Change of Destiny,2020,"A story depicting a fierce struggle for the throne in Joseon.
"
561,/wiki/Kkondae_Intern,Kkondae Intern,2020,"Kkondae Intern is an office comedy that depicts a man's delightful revenge on his previous boss who is also the worst manager.
"
562,/wiki/Korean_Peninsula_(TV_series),Korean Peninsula (TV series),2012,"Seo Myung-joon is a South Korean scientist who falls in love with North Korean scientist Im Jin-jae while developing an alternative energy source together. But when Myung-joon unexpectedly becomes the president of a reunified Korea, political tensions rise as a massive struggle for limited natural resources continues to divide the country.
"
563,/wiki/L.U.C.A.:_The_Beginning,L.U.C.A.: The Beginning,2021,"Zi O (Kim Rae-won) has a special power and a secret, but he doesn't know who he really is. He is chased by mysterious figures, while he tries to find answers to numerous questions that surround him.
"
564,/wiki/Lady_Cha_Dal-rae%27s_Lover,Lady Cha Dal-rae's Lover,2018–19,"This is a drama which tells the life of three middle-aged woman who  graduated from the same high school.
"
565,/wiki/Land_of_Wine,Land of Wine,2003,"In a place far from the town lived a boy and a girl. The girl's name was Li Shan Xi. Her grandfather and father were selling traditional wine to earn money. They produce their own wine in a small shop. The boy's name was Xu Jun (Kim Jae Won). His parents, and Shan Xi's father and grandfather lived together.
"
566,/wiki/Last_(TV_series),Last (TV series),2015,"Jang Tae-ho (Yoon Kye-sang) is a successful fund manager whose seemingly fool-proof financial deal goes horribly awry, leading to a loss of ₩35 billion and his business partner's death. In desperate straits, Tae-ho goes on the run from loan shark gangsters and descends into the underbelly of Seoul. He discovers a secret society of homeless people living inside Seoul Station, one that has its own strict hierarchy and rules. Tae-ho vows to find out what went wrong with his deal, claw himself up from rock bottom, and get his life back.
"
567,/wiki/Last_Scandal,Last Scandal,2008,"Hong Sun-hee (Choi Jin-sil) is a 39-year-old housewife facing extreme financial difficulties due to her husband Ahn Yoo-shik's (Kim Byung-se) mounting debt. One day, Yoo-shik disappears, leaving Sun-hee to take care of the household. She later learns that he has married a rich woman. Now a single divorced mother with a thirteen-year-old daughter, Sun-hee runs into top actor Song Jae-bin (Jung Joon-ho) at a commercial shoot, and he turns out to be none other than her first boyfriend, Jang Dong-chul. Sun-hee was once the prettiest girl in high school, but in the years since she has let herself go and is now a middle-aged, plain-looking housewife, which is why Jae-bin doesn't recognize her at first. Greatly disappointed to find his first love so much changed, the egoistic, self-absorbed actor tries to avoid her. But the famous star is not without problems, either. To maintain his popularity, he deceives people about his age, background, history and even his name. Little wonder he is embarrassed to meet Sun-hee again, who knows all about his past. But Jae-bin's feelings change when Sun-hee moves into his home as a housekeeper and nanny to his nephew Hoon, son of his older brother and manager Dong-hwa (Jung Woong-in) and estranged from the boy's mother, Lee Na-yoon (Byun Jung-soo). At first alternately ignoring and teasing her, Jae-bin finds himself growing jealous when Sun-hee gets along with Dong-hwa, who unlike him, is gentle, kind and mature. Reminiscing about the good old days, Jae-bin recalls how beautiful Sun-hee was when they fell in love with each other 20 years ago. And in the present, he feels happy and relaxed with her, since he can be perfectly honest in front of her as an ordinary man, not as a famous actor who has to put on a show for the public. Thus, Jae-bin falls in love with Sun-hee all over again. He tries to show her in little ways: by having a hairstylist straighten out her unflattering perm into a stylish bob cut, buying her some nice clothes, and even paying for her laser eye surgery so that she'll be able to take off her thick, horn-rimmed glasses. But more than restoring her outer beauty, he also hopes to heal her emotional scars.
"
568,/wiki/Late_Night_Restaurant,Late Night Restaurant,2015,"A restaurant opens at midnight until seven in the morning. Its mysterious owner and chef, simply called the 'Master', has no fixed items on his menu, but will take orders from any customer and cook up whatever they ask for. As the Master cooks, his customers tell him their life stories.
"
569,/wiki/Law_School_(TV_series),Law School (TV series),2021,"Set in Korea National University, the series tells the story of students and professors in the legal department who come across an unusual case.
"
570,/wiki/Lawless_Lawyer,Lawless Lawyer,2018,"18 years prior to the events of the series, Cha Moon-sook murders a man critical of her late father. She then orders gangster Ahn Oh-joo to cover it up. Lawyer Cho Jin-ae discovers the truth of the event due to pictures taken by Noh Hyung-joo. Oh-joo murders Jin-ae but her young son Sang-pil escapes with the help of Hyung-joo. Sang-pil flees to his uncle Choi Dae-woong, who is a gangster in Seoul. Hyung-joo is forced to leave her husband and young daughter Ha Jae-yi behind to flee the country. Moon-sook becomes a prominent judge and is seen as a pillar of the community. Oh-joo becomes the boss of large corporation and gains wealth. Sang-pil and Jae-yi both become lawyers in the city of Seoul.
"
571,/wiki/Lawyers_(TV_series),Lawyers (TV series),2005,"After the accident of Ju-hee's parents, her relationship with her boyfriend Yoon Seok-ki has to be ended suddenly. Ju-hee works as Seo Jeong-ho's secretary, and Seok-ki continues his study to US. After five years separated, they meet each other again in the lawfirm. Seok-ki begins working there, with Yang Ha-young as his secretary. Since then, the conflict between all of them begins.
"
572,"/wiki/Lee_San,_Wind_of_the_Palace","Lee San, Wind of the Palace",2007–08,"Yi San dramatizes the life of Korea's King Jeongjo, the 22nd ruler of the Joseon Dynasty. Jeongjo is remembered in Korean history for his sympathy with the plight of the common man, in spite of his own pampered upbringing as royalty.
"
573,/wiki/Left-Handed_Wife,Left-Handed Wife,2019,
574,/wiki/Legal_High_(South_Korean_TV_series),Legal High (South Korean TV series),2019,"The series tells the story of two completely different lawyers who end up working together to win court cases for their clients.
"
575,/wiki/Legend_of_Hyang_Dan,Legend of Hyang Dan,2007,"A ""what if"" parody of <a href=""/wiki/Legend_of_Chun_Hyang"" title=""Legend of Chun Hyang"">Legend of Chun Hyang</a>, based on the classic Korean story <a href=""/wiki/Chunhyangga"" title=""Chunhyangga"">Chunhyangga</a>. What if Lee Mong-ryong fell in love with the servant girl Hyang-dan instead of Chun-hyang?
"
576,/wiki/Legend_of_the_Blue_Sea,Legend of the Blue Sea,2016–17,"The series centers on the love story of Shim Cheong (Jun Ji-hyun), a mermaid, and Heo Joon-jae (Lee Min-ho), a witty con-artist. Focusing on rebirth, fate, and unrequited love, their tale is juxtaposed with the parallel story of their Joseon-era incarnations, the mermaid, Se-hwa, and town head, Kim Dam-ryeong.
"
577,/wiki/Legend_of_the_Patriots,Legend of the Patriots,2010,"The series begins with the ROK Army crossing of the 38th parallel while UN planes begin bombing Pyongyang, the capital of North Korea. The  Korean People's Army (KPA) begins a fighting withdrawal from the city. Sergeant First Class Lee Hyun-joong (Choi Soo-jong) leads his squad forward into the city and not long afterwards the Republic of Korea Army (ROKA) captures the capital. Major General Yong Park (Lee Deok-hwa) is elated by his Division's involvement in capturing the Communist stronghold.
"
578,/wiki/Less_Than_Evil,Less Than Evil,2018–19,"The drama centers on the ongoing psychological battle between a brilliant psychopathic murderer and a hot headed, justice-driven Detective Chief Inspector.
"
579,/wiki/Let_Me_Introduce_Her,Let Me Introduce Her,2018,"The story of Ji Eun-han who loses her memory after undergoing plastic surgery to assume another identity, and searches for memories to find out who she was.
"
580,/wiki/Let%27s_Eat_(TV_series),Let's Eat (TV series),2013–14,"Four single people: happily divorced paralegal Lee Soo-kyung (Lee Soo-kyung), mysterious gourmand Goo Dae-young (Yoon Doo-joon), design student and former rich girl Yoon Jin-yi (Yoon So-hee), and petty lawyer Kim Hak-moon (Shim Hyung-tak). Who enjoy living alone, except for that pesky problem that dining out is not designed for one. At Jin-yi's request, she, Soo-kyung and Dae-young start eating out together and thus get involved in each other's lives.
"
581,/wiki/Let%27s_Eat_2,Let's Eat 2,2015,"The series is about Goo Dae-young (Yoon Doo-joon), an insurance salesman, moving to the small town Sejong from the big city Seoul. He meets Baek Soo-ji (Seo Hyun-jin), who is his next door neighbour. They befriend each other quickly and make a contract while Soo-ji chases the love of her life, Lee Sang-woo (Kwon Yul).
"
582,/wiki/Let%27s_Eat_3,Let's Eat 3,2018,"Goo Dae-young has fallen into a slump in his thirties. In order to heal his wounds, he embarks on a journey to revisit the food that he loved in his twenties with former college classmate Lee Ji-woo, and the two not only share their meals but also relive their memories of the past.
"
583,/wiki/Level_Up_(South_Korean_TV_series),Level Up (South Korean TV series),2019,"An Dan-Te is a director at Yoosung CRC, which specializes in restructuring companies. He does not express his feelings and he is a perfectionist at work. He seems cold-blooded. To save the game company Joybuster from bankruptcy, An Dan-Te is sent there and begins to work as their new CEO.
"
584,/wiki/Leverage_(South_Korean_TV_series),Leverage (South Korean TV series),2019,"The series follows the story of Lee Tae-joon, a former insurance investigator who forms a team of thieves and con artists to target the rich and wealthy. The team was also formed to avenge Tae-joon's son's death.
"
585,/wiki/Liar_Game_(2014_TV_series),Liar Game (2014 TV series),2014,"Nam Da-jung (Kim So-eun) is an innocent college student who passes a hidden camera audition and is invited to join the reality show Liar Game, a psychological survival game wherein participants trick each other and the one who ultimately succeeds wins the prize money of ₩10 billion (US$9.3 million). Tempted by the chance to pay off her debts, Da-jung joins the game and gets conned out of the initial money given to her. In desperation, she asks genius ex-con swindler and former psychology professor Ha Woo-jin (Lee Sang-yoon) to help her win the game.
"
586,/wiki/Lie_After_Lie,Lie After Lie,2020,"Ji Eun-soo is the daughter-in-law of a chaebol family who appears to have everything. Her life falls apart when she is accused of murdering her abusive husband and sentenced to ten years in prison. While in prison, she gave birth to a baby girl but is forced to give her up. She and her father reach out to Kang Ji-min, a journalist who suspected foul play behind Eun-soo's case and the only one willing to hear Eun-soo's side of the story. However, after a while, her letters to Ji-min are mysteriously returned while her father is later killed in a hit-and-run accident right before meeting Ji-min and Ji-min is sent on an overseas assignment just as he was getting closer to the truth. A determined Eun-soo tracks down her daughter upon her release and, in doing so, uncovers a complex web of lies and betrayal beginning with her former mother-in-law, CEO and respected businesswoman Kim Ho-ran.
"
587,/wiki/Lie_to_Me_(2011_TV_series),Lie to Me (2011 TV series),2011,"Gong Ah-jung (Yoon Eun-hye) is a government employee of the Ministry of Culture, Sports and Tourism. At the beginning of the series, Ah-jung lies to an antagonistic friend about being married, not to lose face in front of her. The lie quickly snowballs (due to several misunderstandings) until Ah-jung realizes that everyone is gossiping about her supposed, secret marriage to Hyun Ki-joon (Kang Ji-hwan), the very wealthy president of World Hotel.
"
588,/wiki/Life_(South_Korean_TV_series),Life (South Korean TV series),2018,"At one of South Korea's top medical centers, ideals and interests collide between a patient-centered emergency medicine doctor and the hospital's newly-appointed president.
"
589,/wiki/Life_Is_Beautiful_(2010_TV_series),Life Is Beautiful (2010 TV series),2010,"Set in Jeju, the drama revolves around a loving, multi-generation family led by the parents Yang Byung-tae (Kim Yeong-cheol) and Kim Min-jae (Kim Hae-sook), and their four children Tae-sub (Song Chang-eui), Ji-hye (Woo Hee-jin), Ho-sub (Lee Sang-yoon) and Cho-rong (Nam Gyu-ri), as well as assorted grandparents and uncles. The story follows the family's everyday lives and conflicts, including oldest daughter Ji-hye's marital problems with her husband Soo-il (Lee Min-woo); younger son Ho-sub's pursuit of his mother's assistant, Yeon-joo (Nam Sang-mi); and oldest son Tae-sub's romantic pairing with divorced professor Kyung-soo (Lee Sang-woo), whose homosexual relationship their families react to while addressing issues of personal, social, and familial acceptance, leading to, finally, love and understanding.
"
590,/wiki/Life_on_Mars_(South_Korean_TV_series),Life on Mars (South Korean TV series),2018,"Han Tae-joo (Jung Kyung-Ho) leads a crime investigation team. He has experienced a rapid rise in his career and he trusts data over people. While investigating a serial murder case, he has an accident. When Han Tae-joo wakes up, he finds himself in 1988. He does not know why, but he is now a detective appointed to work at a police station in a small city. To get back to the present day, Han Tae-joo tries to solve a serial murder case.
"
591,/wiki/Lights_and_Shadows_(TV_series),Lights and Shadows (TV series),2011–12,"It tells the story of Kang Ki-tae who came from a wealthy family and became the first national entertainer during the Vietnam War in the 1970s and 1980s.
"
592,/wiki/Likeable_or_Not,Likeable or Not,2007–08,"Baek-ho and Dan-poong first meet during Dan-poong company food testing at a mart.  They continue to run into each other in various farcical situations.  Baek-ho eventually starts working in the marketing department of Bonjour Foods, where Dan-poong is his superior.  At first, she is exasperated by his inexperience, but is eventually impressed by his work ethic and innovative ideas.
"
593,/wiki/Line_Romance,Line Romance,2014,"Min-ho (Lee Min-ho) is a musician who met Ling Ling (Bea Hayden) on his walk and got inspired to write a new song. He then made a silly mistake by sending her a text message saying he loved her.
"
594,/wiki/Listen_to_Love,Listen to Love,2016,"Do Hyun-woo (Lee Sun-kyun), a ten-year veteran producer, believes that his wife Jung Soo-yeon (Song Ji-hyo) is having an affair. They have been married for eight years in what he believed was a strong relationship, until he catches on to a sign that his wife is on the verge of cheating. This pushes him to talk with anonymous people on online social networks to figure out what to do and try to save his marriage.
"
595,/wiki/Listen_to_My_Heart_(TV_series),Listen to My Heart (TV series),2011,"This is the love story of Cha Dong-joo (Kim Jaewon), a man who's been rendered deaf after an accident but pretends he can hear, and Bong Woo-ri (Hwang Jung-eum), a woman who's intelligent but pretends she's dim-witted to protect the dignity of her mentally handicapped father. She has been looking for her step-brother, Bong Ma-roo, who ran away from home 16 years ago. What she soon finds out is that Jang Joon-ha (Namkoong Min), Cha Dong-joo's brother, is Bong Ma-roo himself.
"
596,/wiki/Live_(TV_series),Live (TV series),2018,"Live tells the story of police officers - from the lowest field cadets and patrol officers, to their superiors including corporals, captains, and more - as they form the 'Live' team at the Hongil patrol division. Each officer has their own story, and each works hard in their own places at one of the busiest, most stressful jobs in the world, in order to earn a living.
"
597,/wiki/Live_On_(TV_series),Live On (TV series),2020–21,"High school student Baek Ho-rang (Jung Da-bin) is popular in social media for being pretty and classy, but her being standoffish and cold in person earns her also a considerable number of haters. One day, she hears a strange message from an anonymous sender being read over the school radio: the message reminds her of a traumatic episode in her past that she keeps secret from everybody. She has also been receiving messages from an anonymous account who threatens to blackmail her by revealing her secret past to the public.
"
598,/wiki/Live_Up_to_Your_Name,Live Up to Your Name,2017,"Heo Im (Kim Nam-gil) is a Joseon doctor of Traditional Korean medicine, specializing in acupuncture. He worked at the clinic for the poor during daytime and earned a fortune by making secret visits to nobles and high-ranking officials' houses at night. After gaining notoriety for his great skills, he was tasked to help treat the king's migraines. Unfortunately, his anxiety got the best of him and he was charged with treason. Unwilling to accept jail, he escaped capture but was chased by soldiers. He was eventually cornered into a river and fatally shot by arrows and fell to his supposed death. Death never came and he awakened in modern Seoul-Korea and realizes he has somehow time traveled. Lost and confused, he runs into Choi Yeon-kyung (Kim Ah-joong), a cardiothoracic fellow surgeon at Shinhae Hospital and began an unlikely relationship between time and space.
"
599,/wiki/Liver_or_Die,Liver or Die,2019,"The story of Lee Poong-sang, a lonely middle-aged man, who has never lived for himself.
"
600,/wiki/Living_Among_the_Rich,Living Among the Rich,2011–12,"The story revolves around Kim Hye-ja (Kim Hye-ja) and her daughter Oh Ji-eun (Oh Ji-eun) after they move to the luxurious neighborhood of Cheongdam-dong, in Seoul, after living in the suburbs for years. Their new building turns out to be completely different from their expectations.
"
601,/wiki/Living_in_Style,Living in Style,2011–12,"In the first family, Mo Sung-ae struggles to overcome the difficult hand life has dealt her and care for her four children — two of them are angels, but two are selfish little devils.
"
602,/wiki/Living_Together_(TV_series),Living Together (TV series),2021,"Gumiho, literally ""nine-tailed fox"" is a creature that appears in the folktales and legends of Korea.
"
603,/wiki/Lobbyist_(TV_series),Lobbyist (TV series),2007,"Lobbyist centers around a fictional love story caught in the real-world scenario of international politics, secret weapons trading, and deadly lobbying activities.
"
604,/wiki/Local_Hero_(TV_series),Local Hero (TV series),2016,"Former secret agent Baek Shi Yoon (Park Shi-hoo) is a well-trained human weapon. Hiding his past, he buys the bar ""Neighborhood"" and runs it as the owner. He gets close to the Neighborhood regulars at his bar and he sympathizes with their pain. He then meets a young man, Choi Chan Gyu (Lee Soo-hyuk)  who works as a temporary employee. Choi Chan Gyu wants to become a police officer. Baek Shi Yoon trains him as a secret agent and they fight together against evil.
"
605,/wiki/Look_Back_in_Anger_(TV_series),Look Back in Anger (TV series),2000,
606,/wiki/Loss_Time_Life,Loss Time Life,2019,"So-jin was Yoo-geon's childhood friend and first love. They meet again as she becomes one of his teachers in high school.  After he suddenly dies, Yoo-geon is given a second chance in the form of thirty hours during which he finds the meaning of love.
"
607,/wiki/Love_%26_Secret,Love & Secret,2014–15,"Han Ah-reum, the daughter of the Korean Vice-Minister for Culture, returns home with a child born out of wedlock, a fact that will shame her family and ruin the chances of her father becoming the Minister for Culture. Chun Sung-woon, heir of the Winner fashion and clothing company, is being backed into an arranged marriage that he does not want. When the paths of the two cross and re-cross, initial hostility turns into love. However, the secret of Ah-reum's illegitimate daughter may become a barrier to true love.
"
